# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2398.124811  +0.0327
0.1053  -2398.053802  +0.1037
0.1579  -2398.005796  +0.1517
0.2105  -2397.958935  +0.1985
0.2632  -2397.902419  +0.2550
0.3158  -2397.814364  +0.3431
0.3684  -2397.737470  +0.4200
0.4211  -2397.691987  +0.4655
0.4737  -2397.658935  +0.4985
0.5263  -2397.672521  +0.4849
0.5789  -2397.708849  +0.4486
0.6316  -2397.748467  +0.4090
0.6842  -2397.777405  +0.3801
0.7368  -2397.794743  +0.3627
0.7895  -2397.804551  +0.3529
0.8421  -2397.809578  +0.3479
0.8947  -2397.695371  +0.4621
0.9474  -2398.486728  -0.3293
1.0000  -2399.116673  -0.9592
