# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.195374  +0.0000
0.0526  -2398.182647  +0.0127
0.1053  -2398.123772  +0.0716
0.1579  -2398.051357  +0.1440
0.2105  -2397.958226  +0.2371
0.2632  -2397.829121  +0.3663
0.3158  -2397.731873  +0.4635
0.3684  -2397.695386  +0.5000
0.4211  -2397.667555  +0.5278
0.4737  -2397.649703  +0.5457
0.5263  -2397.667014  +0.5284
0.5789  -2397.720356  +0.4750
0.6316  -2397.791623  +0.4038
0.6842  -2397.848959  +0.3464
0.7368  -2397.896842  +0.2985
0.7895  -2397.947476  +0.2479
0.8421  -2397.955064  +0.2403
0.8947  -2398.322260  -0.1269
0.9474  -2398.761042  -0.5657
1.0000  -2398.805196  -0.6098
