# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.195374  +0.0000
0.0526  -2398.182128  +0.0132
0.1053  -2398.165309  +0.0301
0.1579  -2398.156777  +0.0386
0.2105  -2398.135582  +0.0598
0.2632  -2398.067116  +0.1283
0.3158  -2397.971796  +0.2236
0.3684  -2397.889935  +0.3054
0.4211  -2397.876243  +0.3191
0.4737  -2397.850712  +0.3447
0.5263  -2397.819906  +0.3755
0.5789  -2397.796566  +0.3988
0.6316  -2397.787523  +0.4079
0.6842  -2397.796489  +0.3989
0.7368  -2397.814781  +0.3806
0.7895  -2397.826692  +0.3687
0.8421  -2397.830104  +0.3653
0.8947  -2397.805876  +0.3895
0.9474  -2398.446307  -0.2509
1.0000  -2398.605565  -0.4102
