# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.195374  +0.0000
0.0526  -2398.201173  -0.0058
0.1053  -2398.212936  -0.0176
0.1579  -2398.194456  +0.0009
0.2105  -2398.114777  +0.0806
0.2632  -2397.983458  +0.2119
0.3158  -2397.838626  +0.3567
0.3684  -2397.702784  +0.4926
0.4211  -2397.606630  +0.5887
0.4737  -2397.558241  +0.6371
0.5263  -2397.529786  +0.6656
0.5789  -2397.525106  +0.6703
0.6316  -2397.552292  +0.6431
0.6842  -2397.603819  +0.5916
0.7368  -2397.678831  +0.5165
0.7895  -2397.830250  +0.3651
0.8421  -2397.993275  +0.2021
0.8947  -2398.308719  -0.1133
0.9474  -2398.707800  -0.5124
1.0000  -2398.805196  -0.6098
