       Step     Time          Energy          fmax
MDMin:    0 01:23:03    -2397.527115        0.145649
MDMin:    1 01:23:05    -2397.527114        0.145609
MDMin:    2 01:23:06    -2397.527112        0.145487
MDMin:    3 01:23:08    -2397.527108        0.145284
MDMin:    4 01:23:09    -2397.527102        0.145000
MDMin:    5 01:23:11    -2397.527095        0.144635
MDMin:    6 01:23:13    -2397.527086        0.144189
MDMin:    7 01:23:15    -2397.527076        0.143663
MDMin:    8 01:23:17    -2397.527064        0.143055
MDMin:    9 01:23:19    -2397.527051        0.142366
MDMin:   10 01:23:21    -2397.527035        0.141597
MDMin:   11 01:23:23    -2397.527019        0.140748
MDMin:   12 01:23:24    -2397.527001        0.139819
MDMin:   13 01:23:25    -2397.526981        0.138811
MDMin:   14 01:23:26    -2397.526960        0.137723
MDMin:   15 01:23:28    -2397.526937        0.136557
MDMin:   16 01:23:29    -2397.526913        0.135313
MDMin:   17 01:23:30    -2397.526887        0.133992
MDMin:   18 01:23:32    -2397.526860        0.132594
MDMin:   19 01:23:34    -2397.526832        0.131121
MDMin:   20 01:23:36    -2397.526802        0.129573
MDMin:   21 01:23:37    -2397.526770        0.127951
MDMin:   22 01:23:40    -2397.526737        0.126257
MDMin:   23 01:23:42    -2397.526703        0.124493
MDMin:   24 01:23:44    -2397.526668        0.122660
MDMin:   25 01:23:46    -2397.526631        0.120759
MDMin:   26 01:23:48    -2397.526593        0.118792
MDMin:   27 01:23:50    -2397.526554        0.116762
MDMin:   28 01:23:52    -2397.526513        0.114671
MDMin:   29 01:23:53    -2397.526472        0.112522
MDMin:   30 01:23:55    -2397.526429        0.110316
MDMin:   31 01:23:58    -2397.526385        0.108057
MDMin:   32 01:24:00    -2397.526339        0.105748
MDMin:   33 01:24:02    -2397.526293        0.103391
MDMin:   34 01:24:03    -2397.526246        0.100992
MDMin:   35 01:24:05    -2397.526198        0.098552
MDMin:   36 01:24:07    -2397.526149        0.096076
MDMin:   37 01:24:09    -2397.526099        0.093568
MDMin:   38 01:24:11    -2397.526048        0.091031
MDMin:   39 01:24:13    -2397.525996        0.088472
MDMin:   40 01:24:15    -2397.525943        0.085892
MDMin:   41 01:24:17    -2397.525890        0.083298
MDMin:   42 01:24:19    -2397.525836        0.080694
MDMin:   43 01:24:21    -2397.525782        0.078085
MDMin:   44 01:24:22    -2397.525727        0.075475
MDMin:   45 01:24:24    -2397.525671        0.072869
MDMin:   46 01:24:26    -2397.525616        0.070273
MDMin:   47 01:24:27    -2397.525559        0.067690
MDMin:   48 01:24:29    -2397.525503        0.065125
MDMin:   49 01:24:31    -2397.525446        0.062583
MDMin:   50 01:24:33    -2397.525389        0.060068
MDMin:   51 01:24:35    -2397.525332        0.057584
MDMin:   52 01:24:37    -2397.525276        0.055136
MDMin:   53 01:24:38    -2397.525219        0.052727
MDMin:   54 01:24:40    -2397.525162        0.050360
MDMin:   55 01:24:41    -2397.525106        0.048039
