# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.885022  +0.0000
0.0526  -2397.851701  +0.0333
0.1053  -2397.741919  +0.1431
0.1579  -2397.586051  +0.2990
0.2105  -2397.428596  +0.4564
0.2632  -2397.303601  +0.5814
0.3158  -2397.238448  +0.6466
0.3684  -2397.204727  +0.6803
0.4211  -2397.195576  +0.6894
0.4737  -2397.219371  +0.6657
0.5263  -2397.267932  +0.6171
0.5789  -2397.337795  +0.5472
0.6316  -2397.469912  +0.4151
0.6842  -2397.587218  +0.2978
0.7368  -2397.726578  +0.1584
0.7895  -2397.919162  -0.0341
0.8421  -2398.106659  -0.2216
0.8947  -2398.249363  -0.3643
0.9474  -2398.391093  -0.5061
1.0000  -2398.477188  -0.5922
