       Step     Time          Energy          fmax
MDMin:    0 10:09:20    -2397.199189        0.149741
MDMin:    1 10:09:22    -2397.199189        0.149730
MDMin:    2 10:09:24    -2397.199186        0.149698
MDMin:    3 10:09:26    -2397.199181        0.149645
MDMin:    4 10:09:28    -2397.199175        0.149569
MDMin:    5 10:09:30    -2397.199167        0.149471
MDMin:    6 10:09:32    -2397.199157        0.149350
MDMin:    7 10:09:34    -2397.199145        0.149205
MDMin:    8 10:09:36    -2397.199132        0.149035
MDMin:    9 10:09:38    -2397.199116        0.148839
MDMin:   10 10:09:40    -2397.199099        0.148615
MDMin:   11 10:09:42    -2397.199080        0.148362
MDMin:   12 10:09:44    -2397.199060        0.148078
MDMin:   13 10:09:46    -2397.199038        0.147762
MDMin:   14 10:09:47    -2397.199014        0.147412
MDMin:   15 10:09:49    -2397.198988        0.147026
MDMin:   16 10:09:50    -2397.198961        0.146602
MDMin:   17 10:09:52    -2397.198932        0.146137
MDMin:   18 10:09:54    -2397.198901        0.145629
MDMin:   19 10:09:55    -2397.198869        0.145077
MDMin:   20 10:09:56    -2397.198836        0.144477
MDMin:   21 10:09:58    -2397.198801        0.143827
MDMin:   22 10:10:00    -2397.198764        0.143126
MDMin:   23 10:10:02    -2397.198726        0.142371
MDMin:   24 10:10:04    -2397.198686        0.141559
MDMin:   25 10:10:06    -2397.198645        0.140689
MDMin:   26 10:10:08    -2397.198603        0.139757
MDMin:   27 10:10:10    -2397.198559        0.138764
MDMin:   28 10:10:12    -2397.198514        0.137705
MDMin:   29 10:10:14    -2397.198467        0.136581
MDMin:   30 10:10:16    -2397.198420        0.135389
MDMin:   31 10:10:18    -2397.198371        0.134128
MDMin:   32 10:10:19    -2397.198321        0.132798
MDMin:   33 10:10:21    -2397.198270        0.131398
MDMin:   34 10:10:23    -2397.198217        0.129927
MDMin:   35 10:10:25    -2397.198164        0.128386
MDMin:   36 10:10:27    -2397.198110        0.127790
MDMin:   37 10:10:28    -2397.198054        0.127493
MDMin:   38 10:10:30    -2397.197998        0.127129
MDMin:   39 10:10:31    -2397.197941        0.126692
MDMin:   40 10:10:33    -2397.197883        0.126176
MDMin:   41 10:10:35    -2397.197824        0.125577
