# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.885022  +0.0000
0.0526  -2397.876011  +0.0090
0.1053  -2397.825470  +0.0596
0.1579  -2397.706045  +0.1790
0.2105  -2397.551909  +0.3331
0.2632  -2397.399948  +0.4851
0.3158  -2397.297709  +0.5873
0.3684  -2397.260595  +0.6244
0.4211  -2397.230138  +0.6549
0.4737  -2397.222623  +0.6624
0.5263  -2397.224334  +0.6607
0.5789  -2397.232716  +0.6523
0.6316  -2397.249277  +0.6357
0.6842  -2397.269105  +0.6159
0.7368  -2397.287741  +0.5973
0.7895  -2397.303732  +0.5813
0.8421  -2397.316936  +0.5681
0.8947  -2397.326772  +0.5583
0.9474  -2397.331398  +0.5536
1.0000  -2398.276958  -0.3919
