# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.885022  +0.0000
0.0526  -2397.876809  +0.0082
0.1053  -2397.830433  +0.0546
0.1579  -2397.716281  +0.1687
0.2105  -2397.565840  +0.3192
0.2632  -2397.416582  +0.4684
0.3158  -2397.306629  +0.5784
0.3684  -2397.266197  +0.6188
0.4211  -2397.236890  +0.6481
0.4737  -2397.223303  +0.6617
0.5263  -2397.223493  +0.6615
0.5789  -2397.243198  +0.6418
0.6316  -2397.286781  +0.5982
0.6842  -2397.325507  +0.5595
0.7368  -2397.351433  +0.5336
0.7895  -2397.367811  +0.5172
0.8421  -2397.377846  +0.5072
0.8947  -2397.384011  +0.5010
0.9474  -2397.381042  +0.5040
1.0000  -2398.538364  -0.6533
