# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.885022  +0.0000
0.0526  -2397.807636  +0.0774
0.1053  -2397.719558  +0.1655
0.1579  -2397.600746  +0.2843
0.2105  -2397.446105  +0.4389
0.2632  -2397.374910  +0.5101
0.3158  -2397.342817  +0.5422
0.3684  -2397.320682  +0.5643
0.4211  -2397.338681  +0.5463
0.4737  -2397.393324  +0.4917
0.5263  -2397.464027  +0.4210
0.5789  -2397.518595  +0.3664
0.6316  -2397.562094  +0.3229
0.6842  -2397.605452  +0.2796
0.7368  -2397.641079  +0.2439
0.7895  -2397.628353  +0.2567
0.8421  -2397.859097  +0.0259
0.8947  -2398.269354  -0.3843
0.9474  -2398.398562  -0.5135
1.0000  -2398.940635  -1.0556
