# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.201099  +0.0000
0.0526  -2397.996070  +0.2050
0.1053  -2397.766325  +0.4348
0.1579  -2397.470916  +0.7302
0.2105  -2397.491433  +0.7097
0.2632  -2397.531280  +0.6698
0.3158  -2397.555449  +0.6457
0.3684  -2397.562549  +0.6386
0.4211  -2397.567234  +0.6339
0.4737  -2397.573213  +0.6279
0.5263  -2397.585378  +0.6157
0.5789  -2397.607330  +0.5938
0.6316  -2397.639828  +0.5613
0.6842  -2397.687154  +0.5139
0.7368  -2397.742248  +0.4589
0.7895  -2397.782157  +0.4189
0.8421  -2397.800383  +0.4007
0.8947  -2397.804678  +0.3964
0.9474  -2399.217083  -1.0160
1.0000  -2398.637186  -0.4361
