# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.201099  +0.0000
0.0526  -2398.086628  +0.1145
0.1053  -2397.951792  +0.2493
0.1579  -2397.816273  +0.3848
0.2105  -2397.601804  +0.5993
0.2632  -2397.470326  +0.7308
0.3158  -2397.478004  +0.7231
0.3684  -2397.498051  +0.7030
0.4211  -2397.522327  +0.6788
0.4737  -2397.541998  +0.6591
0.5263  -2397.552576  +0.6485
0.5789  -2397.556562  +0.6445
0.6316  -2397.543885  +0.6572
0.6842  -2397.552332  +0.6488
0.7368  -2397.581432  +0.6197
0.7895  -2397.700510  +0.5006
0.8421  -2397.804939  +0.3962
0.8947  -2397.984561  +0.2165
0.9474  -2398.684282  -0.4832
1.0000  -2398.805198  -0.6041
