# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2397.884458  +0.2730
0.1053  -2397.826960  +0.3305
0.1579  -2397.830235  +0.3272
0.2105  -2397.825331  +0.3321
0.2632  -2397.791744  +0.3657
0.3158  -2397.735819  +0.4216
0.3684  -2397.714189  +0.4433
0.4211  -2397.729664  +0.4278
0.4737  -2397.812786  +0.3447
0.5263  -2397.964711  +0.1928
0.5789  -2398.128797  +0.0287
0.6316  -2398.285111  -0.1276
0.6842  -2398.423490  -0.2660
0.7368  -2398.530613  -0.3731
0.7895  -2398.605835  -0.4484
0.8421  -2398.682258  -0.5248
0.8947  -2398.899837  -0.7424
0.9474  -2398.818010  -0.6605
1.0000  -2398.866654  -0.7092
