       Step     Time          Energy          fmax
MDMin:    0 00:04:57    -2393.806632        8.102241
MDMin:    1 00:04:59    -2393.807107        8.128890
MDMin:    2 00:05:01    -2393.808499        7.741328
MDMin:    3 00:05:03    -2393.810751        6.003142
MDMin:    4 00:05:05    -2393.813928        3.740648
MDMin:    5 00:05:07    -2393.818006        3.991913
MDMin:    6 00:05:09    -2393.822600        5.292353
MDMin:    7 00:05:10    -2393.827305        4.726489
MDMin:    8 00:05:12    -2393.832825        1.541758
MDMin:    9 00:05:14    -2393.839903        1.336107
MDMin:   10 00:05:16    -2393.848240        1.257836
MDMin:   11 00:05:18    -2393.857752        1.238832
MDMin:   12 00:05:20    -2393.868106        1.316826
MDMin:   13 00:05:22    -2393.877423        1.921587
MDMin:   14 00:05:24    -2393.880959        1.558555
MDMin:   15 00:05:26    -2393.883454        1.541463
MDMin:   16 00:05:28    -2393.886151        1.466670
MDMin:   17 00:05:30    -2393.889211        1.324315
MDMin:   18 00:05:33    -2393.892679        1.204243
MDMin:   19 00:05:35    -2393.896586        1.336795
MDMin:   20 00:05:37    -2393.900922        1.458831
MDMin:   21 00:05:38    -2393.905647        1.505052
MDMin:   22 00:05:39    -2393.910743        1.447437
MDMin:   23 00:05:40    -2393.916194        1.377647
MDMin:   24 00:05:42    -2393.921863        1.602438
MDMin:   25 00:05:43    -2393.927499        1.811253
MDMin:   26 00:05:44    -2393.932906        1.824457
MDMin:   27 00:05:45    -2393.938031        1.589728
MDMin:   28 00:05:47    -2393.942668        1.447597
MDMin:   29 00:05:48    -2393.946193        1.490502
MDMin:   30 00:05:49    -2393.948886        1.522017
MDMin:   31 00:05:51    -2393.951709        1.522152
MDMin:   32 00:05:52    -2393.954872        1.480656
MDMin:   33 00:05:54    -2393.958437        1.386454
MDMin:   34 00:05:55    -2393.962455        1.237846
MDMin:   35 00:05:56    -2393.966980        1.159551
MDMin:   36 00:05:58    -2393.972049        1.171585
MDMin:   37 00:05:59    -2393.977673        1.150261
MDMin:   38 00:06:00    -2393.983702        1.082343
MDMin:   39 00:06:02    -2393.989362        1.219180
MDMin:   40 00:06:03    -2393.993170        0.913456
MDMin:   41 00:06:05    -2393.996194        0.858142
MDMin:   42 00:06:07    -2393.999492        0.800590
MDMin:   43 00:06:09    -2394.003287        0.818308
MDMin:   44 00:06:11    -2394.007630        0.870229
MDMin:   45 00:06:13    -2394.012566        0.933675
MDMin:   46 00:06:15    -2394.018127        1.007842
MDMin:   47 00:06:17    -2394.024350        1.086806
MDMin:   48 00:06:19    -2394.031274        1.157401
MDMin:   49 00:06:21    -2394.038969        1.201749
MDMin:   50 00:06:23    -2394.047525        1.202970
MDMin:   51 00:06:24    -2394.057077        1.150066
MDMin:   52 00:06:26    -2394.067753        1.222621
MDMin:   53 00:06:28    -2394.079695        1.271229
MDMin:   54 00:06:30    -2394.092756        1.260913
MDMin:   55 00:06:31    -2394.105954        1.198395
MDMin:   56 00:06:32    -2394.116710        1.122805
MDMin:   57 00:06:34    -2394.125070        1.056786
MDMin:   58 00:06:35    -2394.133528        0.987613
MDMin:   59 00:06:37    -2394.143269        0.908665
MDMin:   60 00:06:39    -2394.154562        0.822451
MDMin:   61 00:06:40    -2394.167647        0.803748
MDMin:   62 00:06:41    -2394.182720        0.841552
MDMin:   63 00:06:43    -2394.200036        0.872726
MDMin:   64 00:06:45    -2394.219846        0.886342
MDMin:   65 00:06:46    -2394.242502        0.873920
MDMin:   66 00:06:48    -2394.268289        0.834069
MDMin:   67 00:06:50    -2394.297438        0.776417
MDMin:   68 00:06:51    -2394.329022        0.776628
MDMin:   69 00:06:53    -2394.359437        1.118543
MDMin:   70 00:06:54    -2394.381557        0.849470
MDMin:   71 00:06:56    -2394.398811        0.832963
MDMin:   72 00:06:58    -2394.417081        0.853245
MDMin:   73 00:06:59    -2394.438344        0.881571
MDMin:   74 00:07:01    -2394.463350        0.915510
MDMin:   75 00:07:02    -2394.493157        0.964384
MDMin:   76 00:07:04    -2394.529306        1.031099
MDMin:   77 00:07:05    -2394.574230        1.122129
MDMin:   78 00:07:06    -2394.631587        1.245113
MDMin:   79 00:07:08    -2394.706654        1.404587
MDMin:   80 00:07:10    -2394.805884        1.593381
MDMin:   81 00:07:11    -2394.934783        1.777170
MDMin:   82 00:07:13    -2395.092813        1.883880
MDMin:   83 00:07:15    -2395.267154        1.827543
MDMin:   84 00:07:17    -2395.393420        1.570036
MDMin:   85 00:07:19    -2395.465984        1.129909
MDMin:   86 00:07:20    -2395.493551        0.747116
MDMin:   87 00:07:22    -2395.521836        0.555612
MDMin:   88 00:07:24    -2395.545622        1.233784
MDMin:   89 00:07:25    -2395.552838        1.309491
MDMin:   90 00:07:26    -2395.553939        0.953940
MDMin:   91 00:07:28    -2395.555734        0.535772
MDMin:   92 00:07:29    -2395.558270        0.539804
MDMin:   93 00:07:30    -2395.561410        0.544805
MDMin:   94 00:07:32    -2395.565075        0.550648
MDMin:   95 00:07:35    -2395.569240        0.557293
MDMin:   96 00:07:37    -2395.573877        0.564685
MDMin:   97 00:07:38    -2395.578948        0.572750
MDMin:   98 00:07:39    -2395.584407        0.581389
MDMin:   99 00:07:41    -2395.590196        0.590445
MDMin:  100 00:07:43    -2395.596249        0.599718
MDMin:  101 00:07:45    -2395.602492        0.608967
MDMin:  102 00:07:46    -2395.608845        0.617859
MDMin:  103 00:07:47    -2395.615225        0.625771
MDMin:  104 00:07:50    -2395.621551        0.631832
MDMin:  105 00:07:52    -2395.627746        0.634644
MDMin:  106 00:07:54    -2395.633743        0.631991
MDMin:  107 00:07:56    -2395.639489        0.620798
MDMin:  108 00:07:57    -2395.644942        0.597786
MDMin:  109 00:07:59    -2395.650065        0.561006
MDMin:  110 00:08:00    -2395.654692        0.614658
MDMin:  111 00:08:02    -2395.657503        1.138344
MDMin:  112 00:08:03    -2395.657877        0.721856
MDMin:  113 00:08:05    -2395.658473        0.463465
MDMin:  114 00:08:07    -2395.659276        0.452000
MDMin:  115 00:08:10    -2395.660206        0.438319
MDMin:  116 00:08:12    -2395.661250        0.425530
MDMin:  117 00:08:14    -2395.662396        0.426464
MDMin:  118 00:08:16    -2395.663635        0.427336
MDMin:  119 00:08:18    -2395.664955        0.428114
