# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2396.509712  +1.6478
0.1053  -2396.492337  +1.6651
0.1579  -2396.459115  +1.6984
0.2105  -2396.419570  +1.7379
0.2632  -2396.385964  +1.7715
0.3158  -2396.364617  +1.7928
0.3684  -2396.357451  +1.8000
0.4211  -2396.367476  +1.7900
0.4737  -2396.393846  +1.7636
0.5263  -2396.424751  +1.7327
0.5789  -2396.449721  +1.7077
0.6316  -2396.471288  +1.6862
0.6842  -2396.486282  +1.6712
0.7368  -2396.482312  +1.6752
0.7895  -2396.504201  +1.6533
0.8421  -2396.601083  +1.5564
0.8947  -2397.160200  +0.9973
0.9474  -2398.523928  -0.3665
1.0000  -2398.805197  -0.6477
