# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2398.022926  +0.1345
0.1053  -2397.771146  +0.3863
0.1579  -2397.829418  +0.3280
0.2105  -2397.817909  +0.3396
0.2632  -2397.780351  +0.3771
0.3158  -2397.731228  +0.4262
0.3684  -2397.714099  +0.4434
0.4211  -2397.731925  +0.4255
0.4737  -2397.826613  +0.3309
0.5263  -2397.987519  +0.1699
0.5789  -2398.152951  +0.0045
0.6316  -2398.306737  -0.1493
0.6842  -2398.438642  -0.2812
0.7368  -2398.538561  -0.3811
0.7895  -2398.608342  -0.4509
0.8421  -2398.657896  -0.5004
0.8947  -2398.813958  -0.6565
0.9474  -2398.948439  -0.7910
1.0000  -2398.832704  -0.6752
