# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2397.783112  +0.3744
0.1053  -2396.571519  +1.5859
0.1579  -2396.570140  +1.5873
0.2105  -2396.568359  +1.5891
0.2632  -2396.562216  +1.5952
0.3158  -2396.563985  +1.5935
0.3684  -2396.555601  +1.6019
0.4211  -2396.539124  +1.6183
0.4737  -2396.514936  +1.6425
0.5263  -2396.489763  +1.6677
0.5789  -2396.478299  +1.6792
0.6316  -2396.490003  +1.6675
0.6842  -2396.520006  +1.6375
0.7368  -2396.553250  +1.6042
0.7895  -2396.576894  +1.5806
0.8421  -2396.588107  +1.5694
0.8947  -2396.589895  +1.5676
0.9474  -2396.628237  +1.5292
1.0000  -2399.147109  -0.9896
