# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2398.078221  +0.0792
0.1053  -2397.944319  +0.2131
0.1579  -2397.775737  +0.3817
0.2105  -2397.803447  +0.3540
0.2632  -2397.826713  +0.3308
0.3158  -2397.830333  +0.3271
0.3684  -2397.829926  +0.3275
0.4211  -2397.816827  +0.3406
0.4737  -2397.778532  +0.3789
0.5263  -2397.730595  +0.4269
0.5789  -2397.714285  +0.4432
0.6316  -2397.768060  +0.3894
0.6842  -2397.995283  +0.1622
0.7368  -2398.264556  -0.1071
0.7895  -2398.505504  -0.3480
0.8421  -2398.662318  -0.5049
0.8947  -2398.739915  -0.5824
0.9474  -2398.941040  -0.7836
1.0000  -2399.207806  -1.0503
