# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2397.952292  +0.2052
0.1053  -2397.736709  +0.4208
0.1579  -2397.796022  +0.3614
0.2105  -2397.701861  +0.4556
0.2632  -2397.717711  +0.4398
0.3158  -2397.768477  +0.3890
0.3684  -2397.849553  +0.3079
0.4211  -2397.948093  +0.2094
0.4737  -2398.061126  +0.0963
0.5263  -2398.188865  -0.0314
0.5789  -2398.318633  -0.1612
0.6316  -2398.456350  -0.2989
0.6842  -2398.622411  -0.4649
0.7368  -2398.738398  -0.5809
0.7895  -2398.764379  -0.6069
0.8421  -2398.755734  -0.5983
0.8947  -2398.811774  -0.6543
0.9474  -2398.917713  -0.7602
1.0000  -2399.116673  -0.9592
