       Step     Time          Energy          fmax
MDMin:    0 18:34:04    -2397.363852        0.146782
MDMin:    1 18:34:05    -2397.363851        0.146735
MDMin:    2 18:34:06    -2397.363849        0.146596
MDMin:    3 18:34:07    -2397.363846        0.146364
MDMin:    4 18:34:09    -2397.363842        0.146039
MDMin:    5 18:34:10    -2397.363837        0.145620
MDMin:    6 18:34:11    -2397.363830        0.145109
MDMin:    7 18:34:13    -2397.363822        0.144503
MDMin:    8 18:34:15    -2397.363813        0.143805
MDMin:    9 18:34:16    -2397.363803        0.143012
MDMin:   10 18:34:18    -2397.363791        0.142125
MDMin:   11 18:34:20    -2397.363778        0.141145
MDMin:   12 18:34:22    -2397.363764        0.140070
MDMin:   13 18:34:23    -2397.363749        0.138901
MDMin:   14 18:34:25    -2397.363733        0.137639
MDMin:   15 18:34:27    -2397.363715        0.136282
MDMin:   16 18:34:28    -2397.363697        0.134832
MDMin:   17 18:34:29    -2397.363677        0.133290
MDMin:   18 18:34:30    -2397.363656        0.131655
MDMin:   19 18:34:31    -2397.363633        0.129930
MDMin:   20 18:34:33    -2397.363610        0.128114
MDMin:   21 18:34:35    -2397.363585        0.126211
MDMin:   22 18:34:36    -2397.363559        0.124221
MDMin:   23 18:34:37    -2397.363532        0.122147
MDMin:   24 18:34:39    -2397.363504        0.119991
MDMin:   25 18:34:40    -2397.363475        0.117756
MDMin:   26 18:34:42    -2397.363445        0.115446
MDMin:   27 18:34:43    -2397.363413        0.113064
MDMin:   28 18:34:45    -2397.363381        0.110614
MDMin:   29 18:34:47    -2397.363347        0.108102
MDMin:   30 18:34:49    -2397.363312        0.105531
MDMin:   31 18:34:50    -2397.363277        0.102908
MDMin:   32 18:34:52    -2397.363240        0.100238
MDMin:   33 18:34:53    -2397.363203        0.097526
MDMin:   34 18:34:54    -2397.363164        0.095897
MDMin:   35 18:34:56    -2397.363125        0.094973
MDMin:   36 18:34:57    -2397.363084        0.093993
MDMin:   37 18:34:58    -2397.363043        0.092958
MDMin:   38 18:35:00    -2397.363001        0.091868
MDMin:   39 18:35:01    -2397.362959        0.090724
