# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.862877  +0.0000
0.0526  -2397.747921  +0.1150
0.1053  -2397.617965  +0.2449
0.1579  -2397.570375  +0.2925
0.2105  -2397.525235  +0.3376
0.2632  -2397.496343  +0.3665
0.3158  -2397.476870  +0.3860
0.3684  -2397.464407  +0.3985
0.4211  -2397.447080  +0.4158
0.4737  -2397.434906  +0.4280
0.5263  -2397.440733  +0.4221
0.5789  -2397.454675  +0.4082
0.6316  -2397.470892  +0.3920
0.6842  -2397.487333  +0.3755
0.7368  -2397.508530  +0.3543
0.7895  -2397.532222  +0.3307
0.8421  -2397.551417  +0.3115
0.8947  -2397.563920  +0.2990
0.9474  -2398.453526  -0.5906
1.0000  -2398.940636  -1.0778
