# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.895516  +0.0000
0.0526  -2397.871944  +0.0236
0.1053  -2397.803466  +0.0921
0.1579  -2397.704699  +0.1908
0.2105  -2397.596363  +0.2992
0.2632  -2397.517340  +0.3782
0.3158  -2397.466758  +0.4288
0.3684  -2397.414221  +0.4813
0.4211  -2397.370218  +0.5253
0.4737  -2397.377946  +0.5176
0.5263  -2397.389629  +0.5059
0.5789  -2397.396408  +0.4991
0.6316  -2397.408426  +0.4871
0.6842  -2397.421209  +0.4743
0.7368  -2397.429541  +0.4660
0.7895  -2397.662083  +0.2334
0.8421  -2398.206076  -0.3106
0.8947  -2398.230631  -0.3351
0.9474  -2398.513075  -0.6176
1.0000  -2398.477188  -0.5817
