# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.895516  +0.0000
0.0526  -2397.846318  +0.0492
0.1053  -2397.721783  +0.1737
0.1579  -2397.581913  +0.3136
0.2105  -2397.491346  +0.4042
0.2632  -2397.429291  +0.4662
0.3158  -2397.370236  +0.5253
0.3684  -2397.375980  +0.5195
0.4211  -2397.386028  +0.5095
0.4737  -2397.392993  +0.5025
0.5263  -2397.397785  +0.4977
0.5789  -2397.407750  +0.4878
0.6316  -2397.419652  +0.4759
0.6842  -2397.423651  +0.4719
0.7368  -2397.436649  +0.4589
0.7895  -2397.669583  +0.2259
0.8421  -2398.207547  -0.3120
0.8947  -2398.231468  -0.3360
0.9474  -2398.513268  -0.6178
1.0000  -2398.477188  -0.5817
