# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.104863  +0.0000
0.0526  -2398.084382  +0.0205
0.1053  -2398.067460  +0.0374
0.1579  -2398.037401  +0.0675
0.2105  -2398.005019  +0.0998
0.2632  -2397.967430  +0.1374
0.3158  -2397.919306  +0.1856
0.3684  -2397.856813  +0.2481
0.4211  -2397.818679  +0.2862
0.4737  -2397.831136  +0.2737
0.5263  -2397.842142  +0.2627
0.5789  -2397.840704  +0.2642
0.6316  -2397.895791  +0.2091
0.6842  -2398.077327  +0.0275
0.7368  -2398.239893  -0.1350
0.7895  -2398.353197  -0.2483
0.8421  -2398.395193  -0.2903
0.8947  -2398.732368  -0.6275
0.9474  -2399.447604  -1.3427
1.0000  -2399.095517  -0.9907
