# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.104863  +0.0000
0.0526  -2398.117144  -0.0123
0.1053  -2398.103741  +0.0011
0.1579  -2398.072384  +0.0325
0.2105  -2398.016748  +0.0881
0.2632  -2397.942777  +0.1621
0.3158  -2397.886482  +0.2184
0.3684  -2397.793138  +0.3117
0.4211  -2397.758931  +0.3459
0.4737  -2397.759091  +0.3458
0.5263  -2397.760457  +0.3444
0.5789  -2397.764353  +0.3405
0.6316  -2397.770543  +0.3343
0.6842  -2397.802908  +0.3020
0.7368  -2397.881709  +0.2232
0.7895  -2397.937581  +0.1673
0.8421  -2397.963501  +0.1414
0.8947  -2397.985501  +0.1194
0.9474  -2398.881571  -0.7767
1.0000  -2398.723563  -0.6187
