# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.104863  +0.0000
0.0526  -2398.080456  +0.0244
0.1053  -2398.019806  +0.0851
0.1579  -2397.885684  +0.2192
0.2105  -2397.793585  +0.3113
0.2632  -2397.791176  +0.3137
0.3158  -2397.797758  +0.3071
0.3684  -2397.847513  +0.2573
0.4211  -2397.940156  +0.1647
0.4737  -2398.004936  +0.0999
0.5263  -2398.037109  +0.0678
0.5789  -2398.071237  +0.0336
0.6316  -2398.117854  -0.0130
0.6842  -2398.199892  -0.0950
0.7368  -2398.303542  -0.1987
0.7895  -2398.372825  -0.2680
0.8421  -2398.393914  -0.2891
0.8947  -2398.447373  -0.3425
0.9474  -2399.282483  -1.1776
1.0000  -2399.079665  -0.9748
