# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.104863  +0.0000
0.0526  -2398.095503  +0.0094
0.1053  -2398.071708  +0.0332
0.1579  -2398.032035  +0.0728
0.2105  -2397.978902  +0.1260
0.2632  -2397.910085  +0.1948
0.3158  -2397.826899  +0.2780
0.3684  -2397.790310  +0.3146
0.4211  -2397.823645  +0.2812
0.4737  -2397.922209  +0.1827
0.5263  -2398.039705  +0.0652
0.5789  -2398.103132  +0.0017
0.6316  -2398.172180  -0.0673
0.6842  -2398.267433  -0.1626
0.7368  -2398.347222  -0.2424
0.7895  -2398.387080  -0.2822
0.8421  -2398.405541  -0.3007
0.8947  -2398.426077  -0.3212
0.9474  -2399.135426  -1.0306
1.0000  -2399.147117  -1.0423
