       Step     Time          Energy          fmax
MDMin:    0 02:37:54    -2397.795104        0.152238
MDMin:    1 02:37:56    -2397.795096        0.152132
MDMin:    2 02:37:58    -2397.795072        0.151813
MDMin:    3 02:38:00    -2397.795032        0.151282
MDMin:    4 02:38:02    -2397.794977        0.150538
MDMin:    5 02:38:03    -2397.794907        0.149581
MDMin:    6 02:38:05    -2397.794822        0.148410
MDMin:    7 02:38:06    -2397.794723        0.147093
MDMin:    8 02:38:08    -2397.794610        0.146453
MDMin:    9 02:38:10    -2397.794485        0.145714
MDMin:   10 02:38:12    -2397.794348        0.144871
MDMin:   11 02:38:14    -2397.794200        0.143918
MDMin:   12 02:38:16    -2397.794043        0.142852
MDMin:   13 02:38:18    -2397.793877        0.141666
MDMin:   14 02:38:19    -2397.793703        0.140358
MDMin:   15 02:38:21    -2397.793524        0.138921
MDMin:   16 02:38:23    -2397.793340        0.137352
MDMin:   17 02:38:24    -2397.793153        0.135648
MDMin:   18 02:38:25    -2397.792964        0.133806
MDMin:   19 02:38:27    -2397.792775        0.131824
MDMin:   20 02:38:28    -2397.792587        0.129703
MDMin:   21 02:38:30    -2397.792402        0.127442
MDMin:   22 02:38:32    -2397.792220        0.125044
MDMin:   23 02:38:34    -2397.792044        0.122512
MDMin:   24 02:38:35    -2397.791875        0.119852
MDMin:   25 02:38:36    -2397.791713        0.117071
MDMin:   26 02:38:38    -2397.791559        0.114177
MDMin:   27 02:38:40    -2397.791415        0.111183
MDMin:   28 02:38:42    -2397.791281        0.108099
MDMin:   29 02:38:43    -2397.791157        0.104940
MDMin:   30 02:38:45    -2397.791043        0.101722
MDMin:   31 02:38:47    -2397.790940        0.098461
MDMin:   32 02:38:49    -2397.790848        0.095176
MDMin:   33 02:38:51    -2397.790766        0.091885
MDMin:   34 02:38:52    -2397.790694        0.088606
MDMin:   35 02:38:54    -2397.790631        0.085360
MDMin:   36 02:38:56    -2397.790577        0.082163
MDMin:   37 02:38:58    -2397.790532        0.079241
MDMin:   38 02:38:59    -2397.790494        0.078467
MDMin:   39 02:39:01    -2397.790463        0.077606
MDMin:   40 02:39:02    -2397.790437        0.076663
MDMin:   41 02:39:05    -2397.790418        0.075647
MDMin:   42 02:39:06    -2397.790403        0.074563
MDMin:   43 02:39:07    -2397.790392        0.073421
MDMin:   44 02:39:09    -2397.790384        0.072227
MDMin:   45 02:39:10    -2397.790380        0.070989
MDMin:   46 02:39:11    -2397.790377        0.069716
MDMin:   47 02:39:13    -2397.790377        0.068415
MDMin:   48 02:39:14    -2397.790378        0.067093
MDMin:   49 02:39:16    -2397.790381        0.065756
MDMin:   50 02:39:17    -2397.790385        0.064409
MDMin:   51 02:39:19    -2397.790389        0.063057
MDMin:   52 02:39:20    -2397.790394        0.061703
MDMin:   53 02:39:22    -2397.790399        0.060351
MDMin:   54 02:39:24    -2397.790405        0.059001
MDMin:   55 02:39:25    -2397.790410        0.057656
MDMin:   56 02:39:27    -2397.790416        0.056316
MDMin:   57 02:39:28    -2397.790422        0.054982
MDMin:   58 02:39:30    -2397.790427        0.053653
MDMin:   59 02:39:32    -2397.790433        0.052331
MDMin:   60 02:39:33    -2397.790439        0.051014
MDMin:   61 02:39:35    -2397.790444        0.049702
       Step     Time          Energy          fmax
MDMin:    0 05:44:31    -2397.800681        0.144168
MDMin:    1 05:44:32    -2397.800674        0.144096
MDMin:    2 05:44:34    -2397.800653        0.143879
MDMin:    3 05:44:36    -2397.800617        0.143518
MDMin:    4 05:44:38    -2397.800567        0.143014
MDMin:    5 05:44:40    -2397.800503        0.142367
MDMin:    6 05:44:42    -2397.800425        0.141579
MDMin:    7 05:44:44    -2397.800333        0.140649
MDMin:    8 05:44:46    -2397.800226        0.139581
MDMin:    9 05:44:48    -2397.800106        0.138376
MDMin:   10 05:44:50    -2397.799971        0.137036
MDMin:   11 05:44:52    -2397.799823        0.135564
MDMin:   12 05:44:54    -2397.799660        0.133964
MDMin:   13 05:44:56    -2397.799484        0.132238
MDMin:   14 05:44:58    -2397.799295        0.130392
MDMin:   15 05:45:00    -2397.799093        0.128430
MDMin:   16 05:45:02    -2397.798877        0.126357
MDMin:   17 05:45:04    -2397.798649        0.124179
MDMin:   18 05:45:06    -2397.798409        0.121904
MDMin:   19 05:45:08    -2397.798157        0.119537
MDMin:   20 05:45:10    -2397.797894        0.117087
MDMin:   21 05:45:12    -2397.797621        0.114562
MDMin:   22 05:45:14    -2397.797337        0.111969
MDMin:   23 05:45:16    -2397.797045        0.109319
MDMin:   24 05:45:17    -2397.796744        0.106620
MDMin:   25 05:45:19    -2397.796436        0.104709
MDMin:   26 05:45:21    -2397.796122        0.104067
MDMin:   27 05:45:22    -2397.795802        0.103377
MDMin:   28 05:45:24    -2397.795479        0.102635
MDMin:   29 05:45:26    -2397.795153        0.101836
MDMin:   30 05:45:27    -2397.794825        0.100972
MDMin:   31 05:45:29    -2397.794498        0.100038
MDMin:   32 05:45:30    -2397.794172        0.099027
MDMin:   33 05:45:32    -2397.793850        0.097931
MDMin:   34 05:45:34    -2397.793533        0.096741
MDMin:   35 05:45:35    -2397.793222        0.095451
MDMin:   36 05:45:36    -2397.792920        0.094049
MDMin:   37 05:45:38    -2397.792627        0.092529
MDMin:   38 05:45:41    -2397.792347        0.090882
