# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.877656  +0.0000
0.0526  -2397.866907  +0.0107
0.1053  -2397.855911  +0.0217
0.1579  -2397.784111  +0.0935
0.2105  -2397.696706  +0.1810
0.2632  -2397.571666  +0.3060
0.3158  -2397.430501  +0.4472
0.3684  -2397.372303  +0.5054
0.4211  -2397.341553  +0.5361
0.4737  -2397.320646  +0.5570
0.5263  -2397.336983  +0.5407
0.5789  -2397.387623  +0.4900
0.6316  -2397.457004  +0.4207
0.6842  -2397.514436  +0.3632
0.7368  -2397.561829  +0.3158
0.7895  -2397.611722  +0.2659
0.8421  -2397.646526  +0.2311
0.8947  -2397.687942  +0.1897
0.9474  -2398.170143  -0.2925
1.0000  -2398.477192  -0.5995
