# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.877656  +0.0000
0.0526  -2397.845400  +0.0323
0.1053  -2397.830741  +0.0469
0.1579  -2397.818124  +0.0595
0.2105  -2397.737744  +0.1399
0.2632  -2397.626315  +0.2513
0.3158  -2397.555668  +0.3220
0.3684  -2397.536273  +0.3414
0.4211  -2397.499996  +0.3777
0.4737  -2397.470561  +0.4071
0.5263  -2397.458715  +0.4189
0.5789  -2397.464139  +0.4135
0.6316  -2397.476993  +0.4007
0.6842  -2397.489689  +0.3880
0.7368  -2397.497513  +0.3801
0.7895  -2397.502827  +0.3748
0.8421  -2397.498767  +0.3789
0.8947  -2397.494861  +0.3828
0.9474  -2398.172510  -0.2949
1.0000  -2398.276959  -0.3993
