# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.877656  +0.0000
0.0526  -2397.846946  +0.0307
0.1053  -2397.803896  +0.0738
0.1579  -2397.729829  +0.1478
0.2105  -2397.636917  +0.2407
0.2632  -2397.505728  +0.3719
0.3158  -2397.404364  +0.4733
0.3684  -2397.366861  +0.5108
0.4211  -2397.338796  +0.5389
0.4737  -2397.320719  +0.5569
0.5263  -2397.324583  +0.5531
0.5789  -2397.336774  +0.5409
0.6316  -2397.357833  +0.5198
0.6842  -2397.387716  +0.4899
0.7368  -2397.423914  +0.4537
0.7895  -2397.459533  +0.4181
0.8421  -2397.491302  +0.3864
0.8947  -2397.532889  +0.3448
0.9474  -2397.913914  -0.0363
1.0000  -2398.538369  -0.6607
