       Step     Time          Energy          fmax
MDMin:    0 04:47:23    -2397.455439        0.148627
MDMin:    1 04:47:24    -2397.455439        0.148604
MDMin:    2 04:47:27    -2397.455439        0.148538
MDMin:    3 04:47:29    -2397.455439        0.148428
MDMin:    4 04:47:30    -2397.455439        0.148273
MDMin:    5 04:47:32    -2397.455439        0.148075
MDMin:    6 04:47:34    -2397.455439        0.147833
MDMin:    7 04:47:36    -2397.455439        0.147549
MDMin:    8 04:47:37    -2397.455439        0.147222
MDMin:    9 04:47:39    -2397.455439        0.146853
MDMin:   10 04:47:41    -2397.455439        0.146442
MDMin:   11 04:47:43    -2397.455439        0.145992
MDMin:   12 04:47:44    -2397.455439        0.145503
MDMin:   13 04:47:46    -2397.455439        0.144977
MDMin:   14 04:47:48    -2397.455439        0.144414
MDMin:   15 04:47:51    -2397.455439        0.143816
MDMin:   16 04:47:53    -2397.455439        0.143186
MDMin:   17 04:47:55    -2397.455439        0.142525
MDMin:   18 04:47:57    -2397.455439        0.141837
MDMin:   19 04:47:59    -2397.455439        0.141123
MDMin:   20 04:48:00    -2397.455439        0.140387
MDMin:   21 04:48:03    -2397.455439        0.139632
MDMin:   22 04:48:05    -2397.455439        0.138863
MDMin:   23 04:48:07    -2397.455439        0.138082
MDMin:   24 04:48:09    -2397.455440        0.137296
MDMin:   25 04:48:11    -2397.455440        0.136508
MDMin:   26 04:48:13    -2397.455440        0.136274
MDMin:   27 04:48:14    -2397.455440        0.137922
MDMin:   28 04:48:16    -2397.455441        0.139691
MDMin:   29 04:48:17    -2397.455441        0.141586
MDMin:   30 04:48:19    -2397.455442        0.143608
MDMin:   31 04:48:22    -2397.455442        0.145755
MDMin:   32 04:48:23    -2397.455443        0.148026
MDMin:   33 04:48:26    -2397.455443        0.150411
MDMin:   34 04:48:27    -2397.455444        0.152899
MDMin:   35 04:48:29    -2397.455445        0.155471
MDMin:   36 04:48:31    -2397.455445        0.158100
MDMin:   37 04:48:32    -2397.455446        0.160753
MDMin:   38 04:48:33    -2397.455447        0.163382
MDMin:   39 04:48:34    -2397.455448        0.165933
MDMin:   40 04:48:36    -2397.455449        0.168337
MDMin:   41 04:48:37    -2397.455451        0.170512
MDMin:   42 04:48:38    -2397.455452        0.172368
MDMin:   43 04:48:40    -2397.455453        0.173808
MDMin:   44 04:48:42    -2397.455455        0.174730
MDMin:   45 04:48:43    -2397.455456        0.175040
MDMin:   46 04:48:46    -2397.455458        0.174659
MDMin:   47 04:48:47    -2397.455460        0.173537
MDMin:   48 04:48:48    -2397.455462        0.171663
MDMin:   49 04:48:50    -2397.455464        0.169073
MDMin:   50 04:48:51    -2397.455466        0.165855
MDMin:   51 04:48:53    -2397.455468        0.162141
MDMin:   52 04:48:55    -2397.455470        0.158091
MDMin:   53 04:48:57    -2397.455473        0.153863
MDMin:   54 04:48:59    -2397.455476        0.149591
MDMin:   55 04:49:01    -2397.455479        0.145364
MDMin:   56 04:49:03    -2397.455482        0.141219
MDMin:   57 04:49:05    -2397.455485        0.137153
MDMin:   58 04:49:07    -2397.455488        0.133141
MDMin:   59 04:49:09    -2397.455492        0.129149
MDMin:   60 04:49:11    -2397.455496        0.125155
MDMin:   61 04:49:13    -2397.455500        0.121150
MDMin:   62 04:49:15    -2397.455504        0.117219
MDMin:   63 04:49:17    -2397.455508        0.114792
MDMin:   64 04:49:19    -2397.455513        0.112466
MDMin:   65 04:49:21    -2397.455518        0.110221
MDMin:   66 04:49:23    -2397.455523        0.108040
MDMin:   67 04:49:25    -2397.455528        0.105909
MDMin:   68 04:49:27    -2397.455534        0.103818
MDMin:   69 04:49:29    -2397.455540        0.102706
MDMin:   70 04:49:31    -2397.455546        0.103419
MDMin:   71 04:49:33    -2397.455552        0.104138
MDMin:   72 04:49:34    -2397.455558        0.104862
MDMin:   73 04:49:36    -2397.455565        0.105588
MDMin:   74 04:49:37    -2397.455572        0.106316
MDMin:   75 04:49:38    -2397.455579        0.107041
MDMin:   76 04:49:40    -2397.455587        0.107761
MDMin:   77 04:49:42    -2397.455594        0.108474
MDMin:   78 04:49:43    -2397.455602        0.109177
MDMin:   79 04:49:45    -2397.455610        0.109865
MDMin:   80 04:49:47    -2397.455618        0.110535
MDMin:   81 04:49:48    -2397.455627        0.111185
MDMin:   82 04:49:50    -2397.455635        0.111809
MDMin:   83 04:49:52    -2397.455644        0.112403
MDMin:   84 04:49:54    -2397.455654        0.112964
MDMin:   85 04:49:55    -2397.455663        0.113486
MDMin:   86 04:49:57    -2397.455672        0.113965
MDMin:   87 04:49:59    -2397.455682        0.114396
MDMin:   88 04:50:01    -2397.455692        0.114774
MDMin:   89 04:50:02    -2397.455702        0.115094
MDMin:   90 04:50:04    -2397.455713        0.115351
MDMin:   91 04:50:06    -2397.455723        0.115539
MDMin:   92 04:50:08    -2397.455734        0.115653
MDMin:   93 04:50:10    -2397.455745        0.115688
MDMin:   94 04:50:11    -2397.455756        0.115638
MDMin:   95 04:50:13    -2397.455768        0.115499
MDMin:   96 04:50:15    -2397.455779        0.115265
MDMin:   97 04:50:17    -2397.455791        0.114933
MDMin:   98 04:50:19    -2397.455803        0.114497
MDMin:   99 04:50:20    -2397.455815        0.113953
MDMin:  100 04:50:22    -2397.455827        0.113297
MDMin:  101 04:50:24    -2397.455839        0.112526
MDMin:  102 04:50:25    -2397.455852        0.111638
MDMin:  103 04:50:27    -2397.455865        0.110628
MDMin:  104 04:50:28    -2397.455878        0.109498
MDMin:  105 04:50:30    -2397.455891        0.108246
MDMin:  106 04:50:32    -2397.455904        0.106880
MDMin:  107 04:50:34    -2397.455917        0.105418
MDMin:  108 04:50:36    -2397.455929        0.119123
MDMin:  109 04:50:37    -2397.455938        0.123361
MDMin:  110 04:50:39    -2397.455943        0.102269
MDMin:  111 04:50:41    -2397.455947        0.101651
MDMin:  112 04:50:43    -2397.455952        0.101014
MDMin:  113 04:50:45    -2397.455957        0.100353
MDMin:  114 04:50:47    -2397.455962        0.099669
MDMin:  115 04:50:49    -2397.455967        0.098962
MDMin:  116 04:50:51    -2397.455972        0.098232
MDMin:  117 04:50:53    -2397.455978        0.097479
MDMin:  118 04:50:55    -2397.455983        0.096702
MDMin:  119 04:50:57    -2397.455989        0.095902
MDMin:  120 04:50:58    -2397.455994        0.095077
MDMin:  121 04:51:00    -2397.456000        0.094230
MDMin:  122 04:51:02    -2397.456006        0.093359
MDMin:  123 04:51:04    -2397.456012        0.092466
MDMin:  124 04:51:05    -2397.456018        0.091550
MDMin:  125 04:51:07    -2397.456024        0.090611
MDMin:  126 04:51:08    -2397.456030        0.089652
MDMin:  127 04:51:09    -2397.456037        0.088671
MDMin:  128 04:51:10    -2397.456043        0.087670
MDMin:  129 04:51:12    -2397.456050        0.086650
MDMin:  130 04:51:13    -2397.456056        0.085612
MDMin:  131 04:51:14    -2397.456063        0.084556
MDMin:  132 04:51:15    -2397.456070        0.083485
MDMin:  133 04:51:17    -2397.456077        0.083054
MDMin:  134 04:51:18    -2397.456084        0.082763
MDMin:  135 04:51:19    -2397.456091        0.082464
MDMin:  136 04:51:20    -2397.456098        0.082156
MDMin:  137 04:51:21    -2397.456105        0.081839
MDMin:  138 04:51:22    -2397.456112        0.083456
MDMin:  139 04:51:24    -2397.456120        0.086781
MDMin:  140 04:51:25    -2397.456127        0.090394
MDMin:  141 04:51:26    -2397.456135        0.094313
MDMin:  142 04:51:27    -2397.456142        0.098553
MDMin:  143 04:51:29    -2397.456150        0.103122
MDMin:  144 04:51:31    -2397.456157        0.108022
MDMin:  145 04:51:33    -2397.456165        0.113239
MDMin:  146 04:51:34    -2397.456172        0.118744
MDMin:  147 04:51:36    -2397.456180        0.124481
MDMin:  148 04:51:38    -2397.456187        0.130364
MDMin:  149 04:51:41    -2397.456195        0.136268
MDMin:  150 04:51:42    -2397.456202        0.142027
MDMin:  151 04:51:44    -2397.456209        0.147429
MDMin:  152 04:51:46    -2397.456217        0.152225
MDMin:  153 04:51:47    -2397.456224        0.156146
MDMin:  154 04:51:48    -2397.456231        0.158933
MDMin:  155 04:51:50    -2397.456238        0.160381
MDMin:  156 04:51:52    -2397.456245        0.160387
MDMin:  157 04:51:54    -2397.456252        0.158995
MDMin:  158 04:51:56    -2397.456260        0.156408
MDMin:  159 04:51:57    -2397.456267        0.152953
MDMin:  160 04:51:59    -2397.456274        0.148999
MDMin:  161 04:52:01    -2397.456281        0.144865
MDMin:  162 04:52:03    -2397.456289        0.140747
MDMin:  163 04:52:04    -2397.456296        0.140880
MDMin:  164 04:52:05    -2397.456304        0.147859
MDMin:  165 04:52:07    -2397.456311        0.155277
MDMin:  166 04:52:09    -2397.456318        0.163151
MDMin:  167 04:52:10    -2397.456326        0.171500
MDMin:  168 04:52:12    -2397.456333        0.180343
MDMin:  169 04:52:13    -2397.456341        0.189702
MDMin:  170 04:52:15    -2397.456348        0.199595
MDMin:  171 04:52:17    -2397.456356        0.210035
MDMin:  172 04:52:18    -2397.456363        0.221027
MDMin:  173 04:52:20    -2397.456370        0.232567
MDMin:  174 04:52:21    -2397.456378        0.244635
MDMin:  175 04:52:23    -2397.456385        0.257193
MDMin:  176 04:52:24    -2397.456392        0.270182
MDMin:  177 04:52:25    -2397.456399        0.283520
MDMin:  178 04:52:27    -2397.456405        0.297099
MDMin:  179 04:52:29    -2397.456412        0.310785
MDMin:  180 04:52:30    -2397.456419        0.324418
MDMin:  181 04:52:32    -2397.456425        0.337818
MDMin:  182 04:52:34    -2397.456432        0.350783
MDMin:  183 04:52:35    -2397.456438        0.363099
MDMin:  184 04:52:36    -2397.456444        0.374544
MDMin:  185 04:52:37    -2397.456450        0.384897
MDMin:  186 04:52:38    -2397.456456        0.393949
MDMin:  187 04:52:40    -2397.456462        0.401508
MDMin:  188 04:52:41    -2397.456468        0.407412
MDMin:  189 04:52:42    -2397.456474        0.411536
MDMin:  190 04:52:43    -2397.456480        0.413802
MDMin:  191 04:52:44    -2397.456486        0.414187
MDMin:  192 04:52:46    -2397.456492        0.412750
MDMin:  193 04:52:47    -2397.456498        0.409601
MDMin:  194 04:52:49    -2397.456504        0.404900
MDMin:  195 04:52:51    -2397.456510        0.398859
MDMin:  196 04:52:53    -2397.456516        0.391738
MDMin:  197 04:52:55    -2397.456522        0.383833
MDMin:  198 04:52:57    -2397.456529        0.375458
MDMin:  199 04:52:58    -2397.456535        0.366929
MDMin:  200 04:53:00    -2397.456541        0.358550
MDMin:  201 04:53:02    -2397.456548        0.350593
MDMin:  202 04:53:04    -2397.456555        0.343290
MDMin:  203 04:53:06    -2397.456561        0.339735
MDMin:  204 04:53:08    -2397.456568        0.343124
MDMin:  205 04:53:10    -2397.456575        0.345803
MDMin:  206 04:53:11    -2397.456582        0.347853
MDMin:  207 04:53:13    -2397.456589        0.349356
MDMin:  208 04:53:14    -2397.456596        0.350383
MDMin:  209 04:53:16    -2397.456603        0.350988
MDMin:  210 04:53:18    -2397.456610        0.351210
MDMin:  211 04:53:19    -2397.456617        0.351072
MDMin:  212 04:53:22    -2397.456624        0.350576
MDMin:  213 04:53:23    -2397.456632        0.349698
MDMin:  214 04:53:25    -2397.456639        0.348394
MDMin:  215 04:53:27    -2397.456646        0.346588
MDMin:  216 04:53:29    -2397.456654        0.344181
MDMin:  217 04:53:30    -2397.456661        0.349634
MDMin:  218 04:53:31    -2397.456669        0.357185
MDMin:  219 04:53:32    -2397.456676        0.365524
MDMin:  220 04:53:33    -2397.456684        0.374601
MDMin:  221 04:53:35    -2397.456691        0.384335
MDMin:  222 04:53:37    -2397.456699        0.394609
MDMin:  223 04:53:39    -2397.456706        0.405269
MDMin:  224 04:53:40    -2397.456714        0.416122
MDMin:  225 04:53:42    -2397.456722        0.426949
MDMin:  226 04:53:44    -2397.456729        0.437519
MDMin:  227 04:53:46    -2397.456737        0.447608
MDMin:  228 04:53:48    -2397.456745        0.457027
MDMin:  229 04:53:50    -2397.456752        0.465632
MDMin:  230 04:53:52    -2397.456760        0.473341
MDMin:  231 04:53:54    -2397.456768        0.480114
MDMin:  232 04:53:56    -2397.456775        0.485933
MDMin:  233 04:53:58    -2397.456783        0.490756
MDMin:  234 04:54:00    -2397.456791        0.494482
MDMin:  235 04:54:02    -2397.456798        0.496913
MDMin:  236 04:54:03    -2397.456806        0.497737
MDMin:  237 04:54:05    -2397.456814        0.496539
MDMin:  238 04:54:06    -2397.456822        0.492822
MDMin:  239 04:54:08    -2397.456830        0.486067
MDMin:  240 04:54:10    -2397.456838        0.475812
MDMin:  241 04:54:12    -2397.456846        0.461769
MDMin:  242 04:54:14    -2397.456855        0.443934
MDMin:  243 04:54:16    -2397.456863        0.422718
MDMin:  244 04:54:18    -2397.456872        0.398965
MDMin:  245 04:54:20    -2397.456882        0.373813
MDMin:  246 04:54:21    -2397.456891        0.348526
MDMin:  247 04:54:23    -2397.456901        0.324267
MDMin:  248 04:54:24    -2397.456911        0.301918
MDMin:  249 04:54:25    -2397.456922        0.282004
MDMin:  250 04:54:27    -2397.456933        0.264725
MDMin:  251 04:54:28    -2397.456944        0.250068
MDMin:  252 04:54:30    -2397.456956        0.237958
MDMin:  253 04:54:32    -2397.456968        0.228280
MDMin:  254 04:54:34    -2397.456979        0.220919
MDMin:  255 04:54:36    -2397.456990        0.216017
MDMin:  256 04:54:38    -2397.456997        0.214056
MDMin:  257 04:54:40    -2397.456999        0.213530
MDMin:  258 04:54:42    -2397.457002        0.213046
MDMin:  259 04:54:43    -2397.457005        0.212661
MDMin:  260 04:54:45    -2397.457008        0.212390
MDMin:  261 04:54:47    -2397.457011        0.212251
MDMin:  262 04:54:49    -2397.457014        0.212263
MDMin:  263 04:54:51    -2397.457017        0.212453
MDMin:  264 04:54:53    -2397.457021        0.212848
MDMin:  265 04:54:55    -2397.457024        0.213483
MDMin:  266 04:54:57    -2397.457027        0.214395
MDMin:  267 04:54:59    -2397.457031        0.215623
MDMin:  268 04:55:01    -2397.457035        0.217208
MDMin:  269 04:55:03    -2397.457039        0.219188
MDMin:  270 04:55:04    -2397.457042        0.221599
MDMin:  271 04:55:06    -2397.457046        0.224473
