# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.877656  +0.0000
0.0526  -2397.829016  +0.0486
0.1053  -2397.709673  +0.1680
0.1579  -2397.583401  +0.2943
0.2105  -2397.546031  +0.3316
0.2632  -2397.516669  +0.3610
0.3158  -2397.505602  +0.3721
0.3684  -2397.496246  +0.3814
0.4211  -2397.473772  +0.4039
0.4737  -2397.459184  +0.4185
0.5263  -2397.460478  +0.4172
0.5789  -2397.464656  +0.4130
0.6316  -2397.471755  +0.4059
0.6842  -2397.480820  +0.3968
0.7368  -2397.490310  +0.3873
0.7895  -2397.499047  +0.3786
0.8421  -2397.506580  +0.3711
0.8947  -2397.747496  +0.1302
0.9474  -2398.743324  -0.8657
1.0000  -2398.940633  -1.0630
