# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.877656  +0.0000
0.0526  -2397.834939  +0.0427
0.1053  -2397.718416  +0.1592
0.1579  -2397.577331  +0.3003
0.2105  -2397.555680  +0.3220
0.2632  -2397.536200  +0.3415
0.3158  -2397.519622  +0.3580
0.3684  -2397.509140  +0.3685
0.4211  -2397.505479  +0.3722
0.4737  -2397.501887  +0.3758
0.5263  -2397.496771  +0.3809
0.5789  -2397.492268  +0.3854
0.6316  -2397.491534  +0.3861
0.6842  -2397.491698  +0.3860
0.7368  -2397.490793  +0.3869
0.7895  -2397.499268  +0.3784
0.8421  -2397.554906  +0.3227
0.8947  -2397.794322  +0.0833
0.9474  -2398.563744  -0.6861
1.0000  -2398.788179  -0.9105
