# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.877656  +0.0000
0.0526  -2397.834921  +0.0427
0.1053  -2397.718388  +0.1593
0.1579  -2397.577347  +0.3003
0.2105  -2397.555630  +0.3220
0.2632  -2397.536141  +0.3415
0.3158  -2397.519586  +0.3581
0.3684  -2397.509131  +0.3685
0.4211  -2397.505477  +0.3722
0.4737  -2397.501887  +0.3758
0.5263  -2397.496772  +0.3809
0.5789  -2397.492269  +0.3854
0.6316  -2397.491533  +0.3861
0.6842  -2397.491698  +0.3860
0.7368  -2397.490793  +0.3869
0.7895  -2397.499268  +0.3784
0.8421  -2397.554906  +0.3227
0.8947  -2397.794322  +0.0833
0.9474  -2398.563744  -0.6861
1.0000  -2398.788179  -0.9105
