       Step     Time          Energy          fmax
MDMin:    0 05:23:24    -2397.374194        0.148400
MDMin:    1 05:23:25    -2397.374193        0.148387
MDMin:    2 05:23:27    -2397.374191        0.148345
MDMin:    3 05:23:29    -2397.374187        0.148277
MDMin:    4 05:23:32    -2397.374182        0.148181
MDMin:    5 05:23:33    -2397.374175        0.148058
MDMin:    6 05:23:35    -2397.374167        0.147908
MDMin:    7 05:23:37    -2397.374157        0.147731
MDMin:    8 05:23:38    -2397.374146        0.147527
MDMin:    9 05:23:40    -2397.374134        0.147297
MDMin:   10 05:23:41    -2397.374121        0.147041
MDMin:   11 05:23:43    -2397.374106        0.146759
MDMin:   12 05:23:45    -2397.374090        0.146451
MDMin:   13 05:23:46    -2397.374074        0.146118
MDMin:   14 05:23:48    -2397.374056        0.145761
MDMin:   15 05:23:50    -2397.374038        0.145379
MDMin:   16 05:23:52    -2397.374019        0.144974
MDMin:   17 05:23:54    -2397.373999        0.144545
MDMin:   18 05:23:56    -2397.373979        0.144094
MDMin:   19 05:23:58    -2397.373958        0.143621
MDMin:   20 05:23:59    -2397.373938        0.143127
MDMin:   21 05:24:00    -2397.373917        0.142612
MDMin:   22 05:24:01    -2397.373896        0.142078
MDMin:   23 05:24:03    -2397.373876        0.141526
MDMin:   24 05:24:05    -2397.373856        0.140957
MDMin:   25 05:24:07    -2397.373837        0.140371
MDMin:   26 05:24:09    -2397.373818        0.139770
MDMin:   27 05:24:11    -2397.373800        0.139155
MDMin:   28 05:24:12    -2397.373783        0.138528
MDMin:   29 05:24:14    -2397.373768        0.137889
MDMin:   30 05:24:15    -2397.373753        0.137242
MDMin:   31 05:24:16    -2397.373741        0.136586
MDMin:   32 05:24:18    -2397.373730        0.135924
MDMin:   33 05:24:19    -2397.373721        0.135259
MDMin:   34 05:24:21    -2397.373715        0.134591
MDMin:   35 05:24:22    -2397.373710        0.133923
MDMin:   36 05:24:23    -2397.373708        0.133258
MDMin:   37 05:24:24    -2397.373709        0.132597
MDMin:   38 05:24:26    -2397.373713        0.131943
MDMin:   39 05:24:27    -2397.373720        0.131299
MDMin:   40 05:24:29    -2397.373730        0.130668
MDMin:   41 05:24:31    -2397.373743        0.130052
MDMin:   42 05:24:32    -2397.373760        0.129455
MDMin:   43 05:24:34    -2397.373781        0.128880
MDMin:   44 05:24:36    -2397.373805        0.128331
MDMin:   45 05:24:38    -2397.373834        0.127811
MDMin:   46 05:24:40    -2397.373867        0.127325
MDMin:   47 05:24:42    -2397.373904        0.126877
MDMin:   48 05:24:44    -2397.373945        0.126471
MDMin:   49 05:24:46    -2397.373991        0.126111
MDMin:   50 05:24:47    -2397.374042        0.125804
MDMin:   51 05:24:49    -2397.374098        0.125555
MDMin:   52 05:24:51    -2397.374158        0.125368
MDMin:   53 05:24:53    -2397.374224        0.125252
MDMin:   54 05:24:54    -2397.374294        0.125211
MDMin:   55 05:24:56    -2397.374370        0.125253
MDMin:   56 05:24:58    -2397.374450        0.125386
MDMin:   57 05:24:59    -2397.374536        0.125618
MDMin:   58 05:25:00    -2397.374627        0.125956
MDMin:   59 05:25:02    -2397.374723        0.126412
MDMin:   60 05:25:04    -2397.374824        0.126993
MDMin:   61 05:25:07    -2397.374931        0.127712
MDMin:   62 05:25:09    -2397.375042        0.128579
MDMin:   63 05:25:11    -2397.375159        0.129606
