# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.877656  +0.0000
0.0526  -2397.846697  +0.0310
0.1053  -2397.834505  +0.0432
0.1579  -2397.772791  +0.1049
0.2105  -2397.673505  +0.2042
0.2632  -2397.558836  +0.3188
0.3158  -2397.423883  +0.4538
0.3684  -2397.375238  +0.5024
0.4211  -2397.380948  +0.4967
0.4737  -2397.391692  +0.4860
0.5263  -2397.400510  +0.4771
0.5789  -2397.414143  +0.4635
0.6316  -2397.435258  +0.4424
0.6842  -2397.458069  +0.4196
0.7368  -2397.483208  +0.3944
0.7895  -2397.509339  +0.3683
0.8421  -2397.532103  +0.3456
0.8947  -2397.548965  +0.3287
0.9474  -2397.525499  +0.3522
1.0000  -2398.678724  -0.8011
