# Time-averaged data for fix msd_out
# TimeStep c_msd_H[4]
500000 0
501000 0.0546646
502000 0.141343
503000 0.0455375
504000 0.0572267
505000 0.110867
506000 0.091316
507000 0.0468733
508000 0.0928472
509000 0.0802914
510000 0.128395
511000 0.248374
512000 0.197989
513000 0.14223
514000 0.149783
515000 0.0700901
516000 0.148676
517000 0.173144
518000 0.0454399
519000 0.101313
520000 0.0102111
521000 0.168532
522000 0.141009
523000 0.142402
524000 0.0139773
525000 0.0122495
526000 0.157488
527000 2.18459
528000 6.29536
529000 4.39784
530000 6.30391
531000 7.70611
532000 6.04381
533000 8.21644
534000 6.60588
535000 4.65255
536000 8.09615
537000 6.7588
538000 7.3487
539000 5.31404
540000 5.93439
541000 4.9575
542000 5.94234
543000 6.41883
544000 5.87926
545000 7.33529
546000 7.03625
547000 5.16346
548000 6.78113
549000 5.55601
550000 6.05624
551000 6.68592
552000 6.10683
553000 5.96194
554000 5.63048
555000 5.75403
556000 6.01444
557000 6.1846
558000 6.50731
559000 6.2611
560000 5.50593
561000 6.49403
562000 7.82093
563000 5.88134
564000 5.00368
565000 5.25776
566000 5.63757
567000 6.16293
568000 7.22402
569000 6.10603
570000 6.44996
571000 7.21961
572000 7.25253
573000 6.74202
574000 5.5801
575000 5.68542
576000 5.94197
577000 6.7529
578000 7.35293
579000 6.24111
580000 6.57465
581000 6.5322
582000 6.79032
583000 5.90568
584000 5.37649
585000 5.96452
586000 6.797
587000 5.50136
588000 5.70036
589000 6.71457
590000 5.91354
591000 7.07173
592000 5.52417
593000 7.098
594000 5.67314
595000 5.24765
596000 6.57078
597000 6.01188
598000 6.64697
599000 5.89412
600000 6.45156
601000 6.39242
602000 6.2984
603000 7.24238
604000 5.85777
605000 7.63482
606000 5.60347
607000 5.73278
608000 6.0341
609000 7.17028
610000 6.49801
611000 6.80615
612000 5.69425
613000 6.05147
614000 6.75133
615000 6.05053
616000 6.47609
617000 6.43422
618000 7.19985
619000 6.63527
620000 6.93363
621000 5.7396
622000 5.44826
623000 6.19429
624000 6.16193
625000 6.49786
626000 6.67499
627000 7.26149
628000 5.83834
629000 6.06371
630000 6.3157
631000 6.34457
632000 6.72754
633000 6.60593
634000 6.98358
635000 5.53725
636000 5.60682
637000 5.61584
638000 5.66426
639000 6.78981
640000 5.74535
641000 6.29285
642000 7.24931
643000 6.68237
644000 5.90348
645000 6.64437
646000 6.25616
647000 5.8005
648000 6.5728
649000 6.10491
650000 7.58018
651000 6.43754
652000 6.47022
653000 5.13669
654000 5.77664
655000 4.58259
656000 7.06937
657000 6.98603
658000 5.8209
659000 5.18298
660000 5.83828
661000 6.61348
662000 17.4765
663000 17.822
664000 14.4637
665000 19.5857
666000 16.3645
667000 20.826
668000 15.162
669000 16.949
670000 19.9897
671000 18.0455
672000 16.5557
673000 16.88
674000 17.7634
675000 18.3403
676000 18.1523
677000 18.3206
678000 18.3878
679000 19.7348
680000 18.5486
681000 20.1762
682000 19.6305
683000 18.0035
684000 19.2918
685000 19.1929
686000 17.9055
687000 18.4552
688000 18.4938
689000 18.6645
690000 17.6509
691000 18.1491
692000 17.6779
693000 20.14
694000 19.0924
695000 19.6038
696000 17.9051
697000 18.6298
698000 19.0284
699000 16.8854
700000 19.0578
701000 17.6779
702000 18.4394
703000 19.8457
704000 18.0257
705000 18.3874
706000 17.2608
707000 19.2919
708000 18.791
709000 17.0039
710000 19.0346
711000 19.0357
712000 17.734
713000 17.3759
714000 20.2395
715000 17.4972
716000 18.4306
717000 18.7084
718000 18.0553
719000 19.4339
720000 17.0293
721000 17.4703
722000 18.0474
723000 17.6968
724000 18.4945
725000 19.7668
726000 18.4387
727000 19.5207
