# Hastelloy N H MSD — Notebook 11
# columns: t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K  (Å²)
# t_ps  MSD_300K  MSD_400K  MSD_600K  MSD_800K
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e-01 1.674413742953999862e-01 1.007013194753332980e-01 1.878873913385332994e-01 1.219897348272908966e+00
1.000000000000000000e+00 1.919072464906604603e-01 1.049011471463642264e-01 1.951102027618412393e-01 1.956319940013156788e+00
1.500000000000000000e+00 2.134420915660213136e-01 1.084466997230974228e-01 2.050458113535380267e-01 2.594184837403591182e+00
2.000000000000000000e+00 2.230879141671342769e-01 1.106098176562457791e-01 2.150326295106212426e-01 3.173555877489745214e+00
2.500000000000000000e+00 2.342853529642379418e-01 1.117941369707887572e-01 2.235163620755347691e-01 3.764701668263579659e+00
3.000000000000000000e+00 2.430347743838127128e-01 1.192011949622742290e-01 2.373696069440134060e-01 4.329979007633014021e+00
3.500000000000000000e+00 2.500727856159304374e-01 1.208597614267068188e-01 2.558619011495315010e-01 4.781685590084199688e+00
4.000000000000000000e+00 2.572259744097789569e-01 1.262682955740790369e-01 2.678314481976557526e-01 5.201588253150050356e+00
4.500000000000000000e+00 2.667178796241957417e-01 1.301178600325066659e-01 2.694486984484584235e-01 5.576324133741917599e+00
5.000000000000000000e+00 2.731799366883970737e-01 1.331916243201877736e-01 2.745624505061703968e-01 6.032089472865813207e+00
5.500000000000000000e+00 2.786495251933556738e-01 1.362940735126845493e-01 2.949299306585906333e-01 6.441439511446473531e+00
6.000000000000000000e+00 2.961690234683679868e-01 1.379168659346541037e-01 3.104010793388851663e-01 6.836436881954128353e+00
6.500000000000000000e+00 3.071805831859543146e-01 1.407310320829973094e-01 3.146896695383736842e-01 7.154793065606989799e+00
7.000000000000000000e+00 3.184040913544048390e-01 1.426644922412239336e-01 3.287940137022864473e-01 7.597381620307247729e+00
7.500000000000000000e+00 3.205150103887617896e-01 1.499575558761103433e-01 3.362071383468372421e-01 7.939048871966979171e+00
8.000000000000000000e+00 3.241451527482154815e-01 1.543053407100336838e-01 3.489708867722559060e-01 8.282675843550677541e+00
8.500000000000000000e+00 3.298322148279649868e-01 1.559109425892857004e-01 3.606254668849730449e-01 8.639048189814747758e+00
9.000000000000000000e+00 3.382492598858394817e-01 1.608240259138233041e-01 3.719532744057316709e-01 9.009482359571681087e+00
9.500000000000000000e+00 3.413955599285424802e-01 1.613622372004048511e-01 3.818561655885290285e-01 9.358535472750748596e+00
